Score,UNITID
100,166683
92,144050
89.3,190415
87.4,190150
86,170976
83.9,162928
82.6,110635
81.5,147767
80.4,110662
78.8,193900
76.6,110680
74.8,211440
71.8,240444
68.6,228778
67.9,236948
66.2,139755
65.9,145637
63.1,227757
62.2,199120
61.7,214777
60.5,164988
59.5,204796
58.7,110644
58.3,179867
57.8,243780
53.1,123961
52.3,110705
52.1,163286
51.2,215293
51.1,171100
48.6,174066
47.7,134130
47.3,195030
45,228723
44.1,234076
43.2,126614
43.1,182670
42.9,152080
42,104151
41.3,110653
40.1,131496
39.8,145600
37.5,168148
36.8,186380
36.8,104179
36.1,135726
35,199193
34.2,166629
33.5,151351
32.7,233921
32,131469
31.8,196088
31.7,167358
30.9,230764
30.5,196097
30.2,110714
29.4,155317
28.5,126562
28.2,236939
28,221759
27.3,145725
27.3,153658
26,126818
25.8,134097
25.6,110671
25.4,163268
25.3,209542
25.1,165015
25,139959
24.5,172644
24.3,130943
