unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
100654,1,"R",5,"R",0,"R",7,"R",6,"R",0,"R",0,"R",7,"R",2,"R",0,"R",0,"R",6,"R",6,"R",0,"R",0,"R",25,"R",14,1
100654,2,"R",5,"R",0,"R",20,"R",3,"R",0,"R",0,"R",3,"R",1,"R",0,"R",0,"R",7,"R",3,"R",0,"R",0,"R",35,"R",7,1
100654,3,"R",4,"R",0,"R",13,"R",7,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",8,"R",1,"R",0,"R",0,"R",27,"R",9,1
100654,4,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,1
100654,7,"R",14,"R",0,"R",41,"R",17,"R",0,"R",0,"R",12,"R",4,"R",0,"R",0,"R",21,"R",10,"R",0,"R",0,"R",88,"R",31,1
100654,8,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,1
100654,9,"R",0,"R",0,"R",5,"R",2,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",6,"R",5,1
100654,10,"R",1,"R",0,"R",1,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",3,"R",4,1
100654,11,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",4,"R",2,1
100654,14,"R",1,"R",0,"R",8,"R",6,"R",0,"R",0,"R",3,"R",1,"R",0,"R",0,"R",3,"R",4,"R",0,"R",0,"R",15,"R",11,1
100654,15,"R",0,"R",0,"R",5,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",6,"R",2,1
100654,16,"R",2,"R",0,"R",4,"R",1,"R",0,"R",0,"R",6,"R",0,"R",0,"R",0,"R",6,"R",4,"R",0,"R",0,"R",18,"R",5,1
100654,17,"R",2,"R",1,"R",25,"R",15,"R",1,"R",0,"R",9,"R",3,"R",0,"R",0,"R",17,"R",4,"R",0,"R",0,"R",54,"R",23,1
100654,18,"R",1,"R",0,"R",10,"R",13,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",3,"R",6,"R",0,"R",0,"R",16,"R",21,1
100654,20,"R",2,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",1,1
100654,21,"R",7,"R",1,"R",45,"R",31,"R",1,"R",0,"R",17,"R",5,"R",0,"R",0,"R",27,"R",15,"R",0,"R",0,"R",97,"R",52,1
100654,22,"R",22,"R",1,"R",94,"R",54,"R",1,"R",0,"R",32,"R",10,"R",0,"R",0,"R",51,"R",29,"R",0,"R",0,"R",200,"R",94,1
100663,1,"R",45,"R",7,"R",7,"R",2,"R",1,"R",0,"R",17,"R",3,"R",6,"R",1,"R",347,"R",63,"R",0,"R",0,"R",423,"R",76,1
100663,2,"R",29,"R",6,"R",6,"R",6,"R",0,"R",0,"R",3,"R",4,"R",3,"R",0,"R",162,"R",80,"R",0,"R",0,"R",203,"R",96,1
100663,3,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",2,"R",8,"R",0,"R",0,"R",2,"R",11,1
100663,4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,1
100663,5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",1,"R",0,"R",0,"R",3,"R",1,1
100663,7,"R",74,"R",14,"R",13,"R",9,"R",1,"R",0,"R",20,"R",8,"R",9,"R",1,"R",514,"R",153,"R",0,"R",0,"R",631,"R",185,1
100663,8,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",4,"R",2,"R",0,"R",0,"R",5,"R",2,1
100663,9,"R",8,"R",3,"R",0,"R",0,"R",1,"R",1,"R",3,"R",0,"R",0,"R",1,"R",39,"R",6,"R",0,"R",0,"R",51,"R",11,1
100663,10,"R",57,"R",23,"R",14,"R",11,"R",0,"R",0,"R",5,"R",4,"R",5,"R",3,"R",139,"R",77,"R",0,"R",0,"R",220,"R",118,1
100663,11,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",2,"R",0,"R",0,"R",0,"R",3,"R",1,1
100663,14,"R",65,"R",26,"R",14,"R",12,"R",1,"R",1,"R",9,"R",4,"R",6,"R",4,"R",184,"R",85,"R",0,"R",0,"R",279,"R",132,1
100663,15,"R",3,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",18,"R",5,"R",0,"R",0,"R",23,"R",7,1
100663,16,"R",14,"R",2,"R",1,"R",1,"R",0,"R",0,"R",1,"R",4,"R",0,"R",0,"R",61,"R",36,"R",0,"R",0,"R",77,"R",43,1
100663,17,"R",52,"R",16,"R",5,"R",12,"R",1,"R",0,"R",5,"R",0,"R",2,"R",2,"R",99,"R",93,"R",0,"R",0,"R",164,"R",123,1
100663,18,"R",25,"R",7,"R",5,"R",2,"R",0,"R",0,"R",1,"R",2,"R",0,"R",1,"R",45,"R",39,"R",0,"R",0,"R",76,"R",51,1
100663,19,"R",5,"R",2,"R",2,"R",3,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",12,"R",12,"R",0,"R",0,"R",21,"R",17,1
100663,20,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,1
100663,21,"R",99,"R",28,"R",14,"R",18,"R",1,"R",0,"R",10,"R",8,"R",2,"R",3,"R",235,"R",185,"R",0,"R",0,"R",361,"R",242,1
100663,22,"R",238,"R",68,"R",41,"R",39,"R",3,"R",1,"R",39,"R",20,"R",17,"R",8,"R",933,"R",423,"R",0,"R",0,"R",1271,"R",559,1
100690,16,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"R",8,"C",0,"C",0,"C",0,"R",8,"R",0,1
100690,18,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"C",0,"R",1,"C",1,"C",0,"C",0,"R",1,"R",1,1
100690,21,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",1,"R",0,"R",0,"R",9,"R",1,1
100690,22,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",1,"R",0,"R",0,"R",9,"R",1,1
100706,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",1,"Z",0,"R",39,"R",5,"Z",0,"Z",0,"R",52,"R",5,1
100706,2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",33,"R",19,"Z",0,"Z",0,"R",40,"R",20,1
100706,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,1
100706,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,1
100706,7,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",17,"R",1,"R",1,"Z",0,"R",74,"R",25,"Z",0,"Z",0,"R",94,"R",26,1
100706,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",6,"R",1,"Z",0,"Z",0,"R",10,"R",1,1
100706,10,"R",2,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",5,"Z",0,"R",1,"R",1,"R",26,"R",24,"Z",0,"Z",0,"R",35,"R",26,1
100706,14,"R",2,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",9,"Z",0,"R",1,"R",1,"R",32,"R",25,"Z",0,"Z",0,"R",45,"R",27,1
100706,15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,1
100706,16,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",3,"Z",0,"Z",0,"R",7,"R",3,1
100706,17,"R",2,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"R",16,"Z",0,"Z",0,"R",10,"R",17,1
