unitid,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
100654,1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,1
100654,2,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",2,"R",0,"R",0,"R",3,"R",3,1
100654,3,"R",0,"R",0,"R",2,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",3,"R",0,"R",0,"R",4,"R",5,1
100654,4,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,1
100654,5,"R",0,"R",0,"R",11,"R",9,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12,"R",9,1
100654,7,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,1
100654,8,"R",0,"R",0,"R",0,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,1
100654,10,"R",0,"R",0,"R",17,"R",6,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17,"R",6,1
100654,11,"R",1,"R",0,"R",2,"R",3,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",3,"R",5,"R",0,"R",0,"R",8,"R",8,1
100654,12,"R",0,"R",0,"R",28,"R",22,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29,"R",22,1
100654,13,"R",1,"R",0,"R",30,"R",25,"R",0,"R",0,"R",3,"R",0,"R",0,"R",0,"R",3,"R",5,"R",0,"R",0,"R",37,"R",30,1
100663,1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",3,"R",1,1
100663,2,"R",8,"R",5,"R",1,"R",1,"R",0,"R",0,"R",4,"R",2,"R",1,"R",2,"R",21,"R",16,"R",0,"R",0,"R",35,"R",26,1
100663,3,"R",15,"R",5,"R",3,"R",2,"R",0,"R",0,"R",3,"R",1,"R",0,"R",1,"R",25,"R",19,"R",0,"R",0,"R",46,"R",28,1
100663,4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",0,"R",0,"R",3,"R",2,1
100663,6,"R",29,"R",27,"R",17,"R",49,"R",0,"R",0,"R",13,"R",9,"R",2,"R",1,"R",153,"R",192,"R",0,"R",0,"R",214,"R",278,1
100663,7,"R",4,"R",4,"R",12,"R",28,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",20,"R",35,"R",0,"R",0,"R",37,"R",68,1
100663,8,"R",0,"R",0,"R",7,"R",81,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",57,"R",0,"R",0,"R",16,"R",138,1
100663,9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",0,"R",0,"R",0,"R",4,"R",0,1
100663,10,"R",2,"R",1,"R",19,"R",68,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",8,"R",14,"R",0,"R",0,"R",29,"R",84,1
100663,11,"R",23,"R",10,"R",4,"R",3,"R",0,"R",0,"R",8,"R",3,"R",1,"R",3,"R",48,"R",36,"R",0,"R",0,"R",84,"R",55,1
100663,12,"R",35,"R",32,"R",55,"R",226,"R",0,"R",0,"R",14,"R",10,"R",2,"R",2,"R",197,"R",300,"R",0,"R",0,"R",303,"R",570,1
100663,13,"R",58,"R",42,"R",59,"R",229,"R",0,"R",0,"R",22,"R",13,"R",3,"R",5,"R",245,"R",336,"R",0,"R",0,"R",387,"R",625,1
100690,8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,1
100690,12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,1
100690,13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,1
100706,1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,1
100706,2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",7,"R",1,1
100706,3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"R",6,"Z",0,"Z",0,"R",6,"R",6,1
100706,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,1
100706,6,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",16,"R",6,"Z",0,"R",2,"R",23,"R",10,1
100706,7,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4,"R",2,"Z",0,"Z",0,"R",5,"R",6,1
