unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,"xstaff17",staff17,"xstaff18",staff18,"xstaff19",staff19,"xstaff20",staff20,"xstaff21",staff21,"xstaff22",staff22,"xstaff23",staff23,"xstaff24",staff24
100654,1,"R",5,"Z",0,"R",7,"R",6,"Z",0,"Z",0,"R",6,"R",1,"Z",0,"Z",0,"R",5,"R",5,"Z",0,"Z",0,"R",23,"R",12,"R",5,"R",13,"Z",0,"R",7,"Z",0,"R",10,"Z",0,"R",35
100654,2,"R",6,"Z",0,"R",20,"R",2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",33,"R",3,"R",6,"R",22,"Z",0,"R",2,"Z",0,"R",6,"Z",0,"R",36
100654,3,"R",4,"Z",0,"R",13,"R",6,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"R",8,"R",1,"Z",0,"Z",0,"R",27,"R",8,"R",4,"R",19,"Z",0,"R",3,"Z",0,"R",9,"Z",0,"R",35
100654,4,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654,7,"R",15,"Z",0,"R",40,"R",15,"Z",0,"Z",0,"R",10,"R",2,"Z",0,"Z",0,"R",18,"R",7,"Z",0,"Z",0,"R",83,"R",24,"R",15,"R",55,"Z",0,"R",12,"Z",0,"R",25,"Z",0,"R",107
100654,8,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2
100654,9,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"R",4,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"R",8
100654,10,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",3,"R",4,"R",1,"R",2,"Z",0,"R",1,"Z",0,"R",3,"Z",0,"R",7
100654,14,"R",1,"Z",0,"R",4,"R",3,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",9,"R",8,"R",1,"R",7,"Z",0,"R",5,"Z",0,"R",4,"Z",0,"R",17
100654,15,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",8,"R",3,"Z",0,"R",6,"Z",0,"R",1,"Z",0,"R",4,"Z",0,"R",11
100654,16,"R",1,"Z",0,"R",5,"R",3,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"Z",0,"R",7,"R",3,"Z",0,"Z",0,"R",20,"R",6,"R",1,"R",8,"Z",0,"R",7,"Z",0,"R",10,"Z",0,"R",26
100654,17,"R",3,"R",1,"R",28,"R",16,"R",1,"Z",0,"R",6,"R",3,"Z",0,"Z",0,"R",20,"R",6,"Z",0,"Z",0,"R",58,"R",26,"R",4,"R",44,"R",1,"R",9,"Z",0,"R",26,"Z",0,"R",84
100654,18,"Z",0,"Z",0,"R",10,"R",14,"Z",0,"Z",0,"R",3,"R",1,"R",1,"Z",0,"R",5,"R",8,"Z",0,"Z",0,"R",19,"R",23,"Z",0,"R",24,"Z",0,"R",4,"R",1,"R",13,"Z",0,"R",42
100654,20,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3
100654,21,"R",4,"R",1,"R",49,"R",35,"R",1,"Z",0,"R",16,"R",5,"R",1,"Z",0,"R",34,"R",20,"Z",0,"Z",0,"R",105,"R",61,"R",5,"R",84,"R",1,"R",21,"R",1,"R",54,"Z",0,"R",166
100654,22,"R",20,"R",1,"R",93,"R",53,"R",1,"Z",0,"R",29,"R",9,"R",1,"Z",0,"R",53,"R",30,"Z",0,"Z",0,"R",197,"R",93,"R",21,"R",146,"R",1,"R",38,"R",1,"R",83,"Z",0,"R",290
100706,1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",2,"Z",0,"R",54,"R",8,"Z",0,"Z",0,"R",69,"R",8,"R",1,"Z",0,"Z",0,"R",12,"R",2,"R",62,"Z",0,"R",77
100706,2,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",37,"R",19,"Z",0,"Z",0,"R",44,"R",20,"Z",0,"R",2,"Z",0,"R",6,"Z",0,"R",56,"Z",0,"R",64
100706,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2
100706,7,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",17,"R",1,"R",2,"R",1,"R",91,"R",28,"Z",0,"Z",0,"R",113,"R",30,"R",1,"R",2,"Z",0,"R",18,"R",3,"R",119,"Z",0,"R",143
