UNITID,SGTYPE,FUNCTCD,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
100654, 1,13,"Z",0,"Z",0,"R",33,"R",35,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",39,"R",41,"Z",0,"R",68,"Z",0,"R",6,"Z",0,"R",6,"Z",0,"R",80
100654, 2,11,"Z",0,"Z",0,"R",6,"R",4,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",11,"R",8,"Z",0,"R",10,"Z",0,"R",5,"Z",0,"R",4,"Z",0,"R",19
100654, 5, 3,"Z",0,"Z",0,"R",6,"R",4,"Z",0,"Z",0,"R",4,"R",1,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",11,"R",8,"Z",0,"R",10,"Z",0,"R",5,"Z",0,"R",4,"Z",0,"R",19
100654, 6,12,"Z",0,"Z",0,"R",27,"R",31,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",28,"R",33,"Z",0,"R",58,"Z",0,"R",1,"Z",0,"R",2,"Z",0,"R",61
100654, 7,99,"Z",0,"Z",0,"R",13,"R",24,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",14,"R",25,"Z",0,"R",37,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",39
100654, 8, 4,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100654, 9, 6,"Z",0,"Z",0,"R",12,"R",23,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",13,"R",24,"Z",0,"R",35,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",37
100654,10,99,"Z",0,"Z",0,"R",14,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",14,"R",8,"Z",0,"R",21,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",22
100654,11, 7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100654,12, 8,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3
100654,14,10,"Z",0,"Z",0,"R",14,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",4,"Z",0,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",18
100706, 1,13,"R",0,"R",2,"R",2,"R",6,"R",1,"R",0,"R",3,"R",1,"R",1,"R",0,"R",18,"R",26,"R",0,"R",0,"R",25,"R",35,"R",2,"R",8,"R",1,"R",4,"R",1,"R",44,"R",0,"R",60
100706, 2,11,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",6,"R",12,"R",0,"R",0,"R",9,"R",14,"R",0,"R",2,"R",0,"R",3,"R",0,"R",18,"R",0,"R",23
100706, 4, 2,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",4,"R",3,"R",0,"R",0,"R",7,"R",5,"R",0,"R",2,"R",0,"R",3,"R",0,"R",7,"R",0,"R",12
100706, 5, 3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",9,"R",0,"R",0,"R",2,"R",9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11,"R",0,"R",11
100706, 6,12,"R",0,"R",2,"R",1,"R",5,"R",1,"R",0,"R",1,"R",0,"R",1,"R",0,"R",12,"R",14,"R",0,"R",0,"R",16,"R",21,"R",2,"R",6,"R",1,"R",1,"R",1,"R",26,"R",0,"R",37
100706, 7,99,"R",0,"R",2,"R",1,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",9,"R",10,"R",0,"R",0,"R",12,"R",12,"R",2,"R",1,"R",1,"R",1,"R",0,"R",19,"R",0,"R",24
100706, 8, 4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1
100706, 9, 6,"R",0,"R",2,"R",1,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",8,"R",10,"R",0,"R",0,"R",11,"R",12,"R",2,"R",1,"R",1,"R",1,"R",0,"R",18,"R",0,"R",23
100706,10,99,"R",0,"R",0,"R",0,"R",5,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",3,"R",4,"R",0,"R",0,"R",4,"R",9,"R",0,"R",5,"R",0,"R",0,"R",1,"R",7,"R",0,"R",13
100706,11, 7,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",3,"R",0,"R",0,"R",1,"R",4,"R",0,"R",1,"R",0,"R",0,"R",1,"R",3,"R",0,"R",5
100706,12, 8,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",1,"R",3,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,"R",0,"R",4
100706,13, 9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2
100706,14,10,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
100724, 1,13,"Z",0,"Z",0,"R",5,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",5,"R",9,"Z",0,"R",11,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",14
100724, 2,11,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",5,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",5
100724, 4, 2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2
100724, 5, 3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
100724, 6,12,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",4,"Z",0,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9
100724, 7,99,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4
100724, 9, 6,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4
100724,10,99,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5
100724,11, 7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
100724,12, 8,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100724,14,10,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100751, 1,13,"R",9,"R",3,"R",9,"R",20,"R",0,"R",0,"R",3,"R",3,"R",1,"R",2,"R",72,"R",85,"R",0,"R",0,"R",94,"R",113,"R",12,"R",29,"R",0,"R",6,"R",3,"R",157,"R",0,"R",207
100751, 2,11,"R",2,"R",2,"R",1,"R",2,"R",0,"R",0,"R",1,"R",2,"R",0,"R",1,"R",25,"R",19,"R",0,"R",0,"R",29,"R",26,"R",4,"R",3,"R",0,"R",3,"R",1,"R",44,"R",0,"R",55
100751, 3, 1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",2,"R",0,"R",0,"R",3,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",0,"R",5
100751, 4, 2,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",9,"R",2,"R",0,"R",0,"R",12,"R",4,"R",3,"R",1,"R",0,"R",1,"R",0,"R",11,"R",0,"R",16
100751, 5, 3,"R",0,"R",1,"R",0,"R",2,"R",0,"R",0,"R",1,"R",1,"R",0,"R",1,"R",13,"R",15,"R",0,"R",0,"R",14,"R",20,"R",1,"R",2,"R",0,"R",2,"R",1,"R",28,"R",0,"R",34
100751, 6,12,"R",7,"R",1,"R",8,"R",18,"R",0,"R",0,"R",2,"R",1,"R",1,"R",1,"R",47,"R",66,"R",0,"R",0,"R",65,"R",87,"R",8,"R",26,"R",0,"R",3,"R",2,"R",113,"R",0,"R",152
100751, 7,99,"R",7,"R",1,"R",2,"R",7,"R",0,"R",0,"R",2,"R",1,"R",1,"R",0,"R",32,"R",34,"R",0,"R",0,"R",44,"R",43,"R",8,"R",9,"R",0,"R",3,"R",1,"R",66,"R",0,"R",87
100751, 8, 4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",2,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",3
100751, 9, 6,"R",7,"R",1,"R",2,"R",7,"R",0,"R",0,"R",2,"R",1,"R",1,"R",0,"R",30,"R",33,"R",0,"R",0,"R",42,"R",42,"R",8,"R",9,"R",0,"R",3,"R",1,"R",63,"R",0,"R",84
100751,10,99,"R",0,"R",0,"R",6,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",15,"R",32,"R",0,"R",0,"R",21,"R",44,"R",0,"R",17,"R",0,"R",0,"R",1,"R",47,"R",0,"R",65
100751,11, 7,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9,"R",2,"R",0,"R",0,"R",10,"R",3,"R",0,"R",2,"R",0,"R",0,"R",0,"R",11,"R",0,"R",13
100751,12, 8,"R",0,"R",0,"R",1,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",28,"R",0,"R",0,"R",5,"R",33,"R",0,"R",6,"R",0,"R",0,"R",0,"R",32,"R",0,"R",38
100751,13, 9,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2
100751,14,10,"R",0,"R",0,"R",4,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",2,"R",0,"R",0,"R",4,"R",8,"R",0,"R",9,"R",0,"R",0,"R",1,"R",2,"R",0,"R",12
100760, 1,13,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",5,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",8
100760, 2,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4
100760, 4, 2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",4
100760, 6,12,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4
100760,10,99,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4
100760,12, 8,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2
100760,14,10,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2
100812, 1,13,"R",0,"R",0,"R",1,"R",2,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",5,"R",12,"R",0,"R",0,"R",7,"R",15,"R",0,"R",3,"R",1,"R",1,"R",0,"R",17,"R",0,"R",22
100812, 2,11,"R",0,"R",0,"R",1,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",5,"R",9,"R",0,"R",0,"R",7,"R",10,"R",0,"R",1,"R",1,"R",1,"R",0,"R",14,"R",0,"R",17
100812, 5, 3,"R",0,"R",0,"R",1,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",5,"R",9,"R",0,"R",0,"R",7,"R",10,"R",0,"R",1,"R",1,"R",1,"R",0,"R",14,"R",0,"R",17
100812, 6,12,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3,"R",0,"R",0,"R",0,"R",5,"R",0,"R",2,"R",0,"R",0,"R",0,"R",3,"R",0,"R",5
100812, 7,99,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2
