UNITID,ARANK,XSTAFF01,STAFF01,XSTAFF02,STAFF02,XSTAFF03,STAFF03,XSTAFF04,STAFF04,XSTAFF05,STAFF05,XSTAFF06,STAFF06,XSTAFF07,STAFF07,XSTAFF08,STAFF08,XSTAFF09,STAFF09,XSTAFF10,STAFF10,XSTAFF11,STAFF11,XSTAFF12,STAFF12,XSTAFF13,STAFF13,XSTAFF14,STAFF14,XSTAFF15,STAFF15,XSTAFF16,STAFF16,XSTAFF17,STAFF17,XSTAFF18,STAFF18,XSTAFF19,STAFF19,XSTAFF20,STAFF20,XSTAFF21,STAFF21,XSTAFF22,STAFF22,XSTAFF23,STAFF23,XSTAFF24,STAFF24 
100654, 1,"R",7,"Z",0,"R",19,"R",5,"Z",0,"Z",0,"R",9,"R",2,"Z",0,"Z",0,"R",6,"R",8,"Z",0,"Z",0,"R",41,"R",15,"R",7,"R",24,"Z",0,"R",11,"Z",0,"R",14,"Z",0,"R",56
100654, 2,"R",4,"R",1,"R",17,"C",4,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",7,"C",3,"Z",0,"Z",0,"R",33,"C",8,"R",5,"C",21,"Z",0,"R",5,"Z",0,"C",10,"Z",0,"C",41
100654, 3,"R",2,"Z",0,"R",13,"C",6,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",19,"C",8,"R",2,"C",19,"Z",0,"R",3,"Z",0,"R",3,"Z",0,"C",27
100654, 7,"R",13,"R",1,"R",49,"C",15,"Z",0,"Z",0,"R",15,"R",4,"Z",0,"Z",0,"R",16,"C",11,"Z",0,"Z",0,"R",93,"C",31,"R",14,"C",64,"Z",0,"R",19,"Z",0,"C",27,"Z",0,"C",124
100654, 8,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",1,"Z",0,"R",4,"Z",0,"R",5,"Z",0,"Z",0,"Z",0,"R",9
100654, 9,"Z",0,"Z",0,"R",7,"R",7,"Z",0,"Z",0,"R",8,"R",2,"Z",0,"Z",0,"R",3,"R",5,"Z",0,"Z",0,"R",18,"R",14,"Z",0,"R",14,"Z",0,"R",10,"Z",0,"R",8,"Z",0,"R",32
100654,10,"R",2,"R",1,"R",21,"R",14,"Z",0,"Z",0,"R",11,"R",4,"Z",0,"Z",0,"R",10,"R",6,"Z",0,"Z",0,"R",44,"R",25,"R",3,"R",35,"Z",0,"R",15,"Z",0,"R",16,"Z",0,"R",69
100654,11,"Z",0,"Z",0,"R",3,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"R",3,"Z",0,"R",5,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",7
100654,14,"R",2,"R",1,"R",34,"R",24,"Z",0,"Z",0,"R",24,"R",6,"R",1,"Z",0,"R",13,"R",12,"Z",0,"Z",0,"R",74,"R",43,"R",3,"R",58,"Z",0,"R",30,"R",1,"R",25,"Z",0,"R",117
100654,15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100654,16,"Z",0,"Z",0,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",4
100654,17,"R",1,"Z",0,"R",13,"R",6,"R",1,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",7,"R",4,"Z",0,"Z",0,"R",24,"R",12,"R",1,"R",19,"R",1,"R",4,"Z",0,"R",11,"Z",0,"R",36
100654,18,"Z",0,"Z",0,"R",3,"R",19,"Z",0,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",3,"R",9,"Z",0,"Z",0,"R",9,"R",28,"Z",0,"R",22,"Z",0,"R",3,"Z",0,"R",12,"Z",0,"R",37
100654,21,"R",1,"Z",0,"R",18,"R",26,"R",1,"Z",0,"R",5,"R",2,"Z",0,"Z",0,"R",12,"R",13,"Z",0,"Z",0,"R",37,"R",41,"R",1,"R",44,"R",1,"R",7,"Z",0,"R",25,"Z",0,"R",78
100654,22,"R",16,"R",2,"R",101,"C",65,"R",1,"Z",0,"R",44,"R",12,"R",1,"Z",0,"R",41,"C",36,"Z",0,"Z",0,"R",204,"C",115,"R",18,"C",166,"R",1,"R",56,"R",1,"C",77,"Z",0,"C",319
100663, 1,"R",4,"Z",0,"R",7,"R",3,"R",1,"Z",0,"R",36,"R",4,"R",6,"R",3,"R",356,"R",77,"Z",0,"Z",0,"R",410,"R",87,"R",4,"R",10,"R",1,"R",40,"R",9,"R",433,"Z",0,"R",497
100663, 2,"R",1,"Z",0,"R",7,"R",8,"R",1,"R",1,"R",17,"R",6,"R",7,"R",1,"R",171,"R",80,"Z",0,"Z",0,"R",204,"R",96,"R",1,"R",15,"R",2,"R",23,"R",8,"R",251,"Z",0,"R",300
100663, 3,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",6,"Z",0,"Z",0,"R",3,"R",8,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",9,"Z",0,"R",11
100663, 7,"R",5,"Z",0,"R",14,"R",12,"R",2,"R",1,"R",53,"R",11,"R",13,"R",4,"R",530,"R",163,"Z",0,"Z",0,"R",617,"R",191,"R",5,"R",26,"R",3,"R",64,"R",17,"R",693,"Z",0,"R",808
100663, 8,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",5,"Z",0,"Z",0,"R",10,"R",5,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"Z",0,"R",15
100663, 9,"R",2,"R",1,"R",1,"R",2,"R",0,"Z",0,"R",13,"R",4,"R",5,"R",2,"R",34,"R",15,"Z",0,"Z",0,"R",55,"R",24,"R",3,"R",3,"R",0,"R",17,"R",7,"R",49,"Z",0,"R",79
100663,10,"R",20,"R",8,"R",11,"R",16,"Z",0,"R",1,"R",32,"R",11,"R",10,"R",6,"R",127,"R",110,"Z",0,"Z",0,"R",200,"R",152,"R",28,"R",27,"R",1,"R",43,"R",16,"R",237,"Z",0,"R",352
100663,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
100663,14,"R",23,"R",9,"R",12,"R",18,"R",0,"R",1,"R",45,"R",15,"R",15,"R",8,"R",171,"R",130,"Z",0,"Z",0,"R",266,"R",181,"R",32,"R",30,"R",1,"R",60,"R",23,"R",301,"Z",0,"R",447
100663,15,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",5,"R",1,"Z",0,"Z",0,"R",34,"R",16,"Z",0,"Z",0,"R",42,"R",17,"R",1,"R",2,"Z",0,"R",6,"Z",0,"R",50,"Z",0,"R",59
