UNITID,SGTYPE,FUNCTCD,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100663, 1,13,"R",273,"R",123,"R",150,"R",1,"R",1,"R",0,"R",15,"R",10,"R",5,"R",65,"R",14,"R",51,"R",3,"R",2,"R",1,"R",2,"R",1,"R",1,"R",158,"R",76,"R",82,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",28,"R",18,"R",10
100663, 2,11,"R",74,"R",42,"R",32,"R",0,"R",0,"R",0,"R",7,"R",6,"R",1,"R",4,"R",1,"R",3,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",56,"R",30,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6,"R",4,"R",2
100663, 3, 1,"R",4,"R",4,"R",0,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663, 4, 2,"R",36,"R",21,"R",15,"R",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",28,"R",16,"R",12,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",4,"R",2,"R",2
100663, 5, 3,"R",34,"R",17,"R",17,"R",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",2,"Z",0,"R",2,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",27,"R",13,"R",14,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
100663, 6,12,"R",199,"R",81,"R",118,"R",1,"R",1,"R",0,"R",8,"R",4,"R",4,"R",61,"R",13,"R",48,"R",2,"R",1,"R",1,"R",2,"R",1,"R",1,"R",102,"R",46,"R",56,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0,"R",22,"R",14,"R",8
100663, 7,99,"R",102,"R",46,"R",56,"R",1,"R",1,"Z",0,"R",5,"R",2,"R",3,"R",19,"R",4,"R",15,"R",1,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",53,"R",24,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",14,"R",8
100663, 8, 4,"R",5,"R",2,"R",3,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",5,"R",2,"R",3,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663, 9, 6,"R",97,"R",44,"R",53,"R",1,"R",1,"Z",0,"R",5,"R",2,"R",3,"R",19,"R",4,"R",15,"R",1,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",48,"R",22,"R",26,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",22,"R",14,"R",8
100663,10,99,"R",97,"R",35,"R",62,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",42,"R",9,"R",33,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",49,"R",22,"R",27,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100663,11, 7,"R",43,"R",22,"R",21,"R",0,"Z",0,"Z",0,"R",3,"R",2,"R",1,"R",11,"R",2,"R",9,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",28,"R",17,"R",11,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100663,12, 8,"R",36,"R",4,"R",32,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",18,"R",3,"R",15,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",17,"R",1,"R",16,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
